,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermiston,75,US,1587240622,30,45.84,-119.29,68.0,16.11
1,nishihara,1,JP,1587240622,94,26.18,127.76,71.6,5.82
2,ushuaia,75,AR,1587240622,69,-54.8,-68.3,50.0,18.34
3,kawalu,100,ID,1587240623,76,-7.38,108.21,72.61,1.68
4,inuvik,75,CA,1587240546,73,68.35,-133.72,19.4,12.75
5,naze,90,JP,1587240565,88,28.37,129.48,64.4,4.7
6,port hedland,97,CD,1587240623,61,-7.03,29.76,72.86,4.83
7,geraldton,40,AU,1587240445,93,-28.77,114.6,66.2,3.36
8,lompoc,75,US,1587240600,59,34.64,-120.46,62.6,9.17
9,kapaa,1,US,1587240373,65,22.08,-159.32,78.8,11.41
10,aripuana,98,BR,1587240562,80,-9.17,-60.63,79.02,2.17
11,narsaq,75,GL,1587240470,92,60.92,-46.05,32.0,3.36
12,rikitea,18,PF,1587240495,73,-23.12,-134.97,77.09,7.54
13,port lincoln,97,CD,1587240624,61,-7.03,29.76,72.86,4.83
14,harper,100,LR,1587240624,84,4.38,-7.72,80.46,8.28
15,tautira,78,PF,1587240624,66,-17.73,-149.15,86.0,9.17
16,saint-philippe,20,RE,1587240624,78,-21.36,55.77,77.0,17.22
17,kashan,100,IR,1587240329,40,33.98,51.44,62.96,10.96
18,yumen,93,CN,1587240624,24,40.28,97.2,51.57,11.27
19,constitucion,83,CL,1587240505,83,-35.33,-72.42,65.19,9.69
20,arrecife,20,ES,1587240391,68,28.96,-13.55,68.0,12.75
21,thompson,40,CA,1587240357,51,55.74,-97.86,14.0,11.41
22,victoria,33,HK,1587240578,88,22.29,114.16,75.0,8.01
23,strezhevoy,100,RU,1587240403,50,60.73,77.59,53.6,13.42
24,baglung,11,NP,1587240625,31,28.27,83.59,62.28,5.73
25,ancud,75,CL,1587240508,82,-41.87,-73.82,59.0,17.22
26,mataura,100,NZ,1587240013,91,-46.19,168.86,43.0,5.01
27,cape town,75,CL,1587240626,61,-36.41,-71.9,77.0,6.93
28,albany,93,US,1587240522,66,42.6,-73.97,44.01,3.0
29,provideniya,100,RU,1587240425,95,64.38,-173.3,22.05,14.54
30,tabou,100,CI,1587240626,87,4.42,-7.35,79.79,7.99
31,haimen,40,CN,1587240626,88,23.19,116.61,75.2,1.95
32,longyearbyen,20,SJ,1587240626,80,78.22,15.64,30.2,5.82
33,hasaki,75,JP,1587240626,93,35.73,140.83,52.0,4.7
34,airai,44,TL,1587240488,56,-8.93,125.41,59.76,2.86
